+189.51.12.0/24,s12-1,s9-3,220
+189.51.12.0/24,s13-1,s14-3,220
+162.220.118.0/24,s12-1,s2-6,220
+162.220.118.0/24,s13-1,s14-3,220
+189.51.12.0/24,s10-2,s5-2,220
+189.51.12.0/24,s10-3,s5-2,220
+189.51.12.0/24,s10-1,s5-2,220
+189.51.12.0/24,s10-5,s5-2,220
+162.220.118.0/24,s10-1,s8-4,220
+162.220.118.0/24,s10-4,s8-4,220
+162.220.118.0/24,s11-1,s2-7,220
+189.51.12.0/24,s11-1,s2-7,220
+189.51.12.0/24,s14-1,s2-2,220
+189.51.12.0/24,s14-3,s2-2,220
+162.220.118.0/24,s14-1,s15-8,220
+162.220.118.0/24,s14-3,s15-8,220
+189.51.12.0/24,s15-1,s2-8,220
+189.51.12.0/24,s15-3,s2-8,220
+189.51.12.0/24,s15-5,s2-8,220
+189.51.12.0/24,s16-1,s15-5,220
+162.220.118.0/24,s16-1,s15-5,220
+189.51.12.0/24,s3-1,s8-8,220
+162.220.118.0/24,s3-1,s8-8,220
+189.51.12.0/24,s4-1,s1-6,220
+162.220.118.0/24,s4-1,s1-6,220
+189.51.12.0/24,s1-6,s2-4,220
+189.51.12.0/24,s1-1,s2-4,220
+162.220.118.0/24,s1-6,s15-4,220
+162.220.118.0/24,s1-1,s15-4,220
+189.51.12.0/24,s2-7,s10-5,220
+189.51.12.0/24,s2-8,s10-5,220
+189.51.12.0/24,s2-1,s10-5,220
+189.51.12.0/24,s2-2,s10-5,220
+189.51.12.0/24,s2-4,s10-5,220
+162.220.118.0/24,s2-7,s15-7,220
+162.220.118.0/24,s2-6,s15-7,220
+162.220.118.0/24,s2-1,s15-7,220
+189.51.12.0/24,s7-1,s15-3,220
+162.220.118.0/24,s7-1,s15-3,220
+189.51.12.0/24,s8-8,s10-3,220
+189.51.12.0/24,s8-1,s10-3,220
+162.220.118.0/24,s8-8,s15-2,220
+162.220.118.0/24,s8-4,s15-2,220
+162.220.118.0/24,s8-1,s15-2,220
+162.220.118.0/24,s5-1,s10-4,220
+189.51.12.0/24,s6-1,s9-5,220
+162.220.118.0/24,s6-1,s9-5,220
+189.51.12.0/24,s9-1,s10-2,220
+189.51.12.0/24,s9-3,s10-2,220
+189.51.12.0/24,s9-5,s10-2,220
+162.220.118.0/24,s9-1,s15-6,220
+162.220.118.0/24,s9-5,s15-6,220
+185.123.37.0/24,s12-1,s2-6,220
+185.123.37.0/24,s13-1,s14-3,220
+185.123.37.0/24,s10-1,s8-4,220
+185.123.37.0/24,s10-4,s8-4,220
+185.123.37.0/24,s11-1,s2-7,220
+185.123.37.0/24,s14-1,s15-8,220
+185.123.37.0/24,s14-3,s15-8,220
+185.123.37.0/24,s16-1,s15-5,220
+185.123.37.0/24,s3-1,s8-8,220
+185.123.37.0/24,s4-1,s1-6,220
+185.123.37.0/24,s1-1,s15-4,220
+185.123.37.0/24,s1-6,s15-4,220
+185.123.37.0/24,s7-1,s15-3,220
+185.123.37.0/24,s2-1,s15-7,220
+185.123.37.0/24,s2-7,s15-7,220
+185.123.37.0/24,s2-6,s15-7,220
+185.123.37.0/24,s8-4,s15-2,220
+185.123.37.0/24,s8-8,s15-2,220
+185.123.37.0/24,s8-1,s15-2,220
+185.123.37.0/24,s5-1,s10-4,220
+185.123.37.0/24,s6-1,s9-5,220
+185.123.37.0/24,s9-5,s15-6,220
+185.123.37.0/24,s9-1,s15-6,220
+202.31.191.0/24,s12-1,s2-6,220
+202.31.191.0/24,s13-1,s14-3,220
+202.31.191.0/24,s10-4,s8-4,220
+202.31.191.0/24,s10-1,s8-4,220
+202.31.191.0/24,s14-3,s15-8,220
+202.31.191.0/24,s14-1,s15-8,220
+202.31.191.0/24,s11-1,s2-7,220
+202.31.191.0/24,s16-1,s15-5,220
+202.31.191.0/24,s3-1,s8-8,220
+202.31.191.0/24,s4-1,s1-6,220
+202.31.191.0/24,s1-1,s15-4,220
+202.31.191.0/24,s1-6,s15-4,220
+202.31.191.0/24,s2-1,s15-7,220
+202.31.191.0/24,s2-7,s15-7,220
+202.31.191.0/24,s2-6,s15-7,220
+202.31.191.0/24,s7-1,s15-3,220
+202.31.191.0/24,s8-1,s15-2,220
+202.31.191.0/24,s8-4,s15-2,220
+202.31.191.0/24,s8-8,s15-2,220
+202.31.191.0/24,s5-1,s10-4,220
+202.31.191.0/24,s6-1,s9-5,220
+202.31.191.0/24,s9-1,s15-6,220
+202.31.191.0/24,s9-5,s15-6,220
+180.206.0.0/16,s13-1,s14-3,180
+180.206.0.0/16,s11-1,s2-7,180
+180.206.0.0/16,s10-4,s2-9,180
+180.206.0.0/16,s10-1,s2-9,180
+180.206.0.0/16,s14-1,s2-2,180
+180.206.0.0/16,s14-3,s2-2,180
+180.206.0.0/16,s15-1,s8-2,180
+180.206.0.0/16,s15-3,s8-2,180
+180.206.0.0/16,s15-5,s8-2,180
+180.206.0.0/16,s16-1,s15-5,180
+180.206.0.0/16,s3-1,s8-8,180
+180.206.0.0/16,s4-1,s1-6,180
+180.206.0.0/16,s1-1,s2-4,180
+180.206.0.0/16,s1-6,s2-4,180
+180.206.0.0/16,s2-4,s12-4,180
+180.206.0.0/16,s2-1,s12-4,180
+180.206.0.0/16,s2-2,s12-4,180
+180.206.0.0/16,s2-7,s12-4,180
+180.206.0.0/16,s2-9,s12-4,180
+180.206.0.0/16,s7-1,s15-3,180
+180.206.0.0/16,s8-8,s12-3,180
+180.206.0.0/16,s8-1,s12-3,180
+180.206.0.0/16,s8-2,s12-3,180
+180.206.0.0/16,s5-1,s10-4,180
+180.206.0.0/16,s6-1,s9-5,180
+180.206.0.0/16,s9-5,s12-2,180
+180.206.0.0/16,s9-1,s12-2,180
+165.212.176.0/24,s12-1,s8-3,220
+165.212.176.0/24,s13-1,s14-3,220
+165.212.176.0/24,s10-4,s2-9,220
+165.212.176.0/24,s10-1,s2-9,220
